name,url,city,type,established,beverage_count
 Gekkeikan Sake (USA),https://www.ratebeer.com/brewers/gekkeikan-sake-usa/4151/,Folsom,Sake Producer,2003,   9
" Ozeki Sake (USA), Inc.",https://www.ratebeer.com/brewers/ozeki-sake-usa-inc/4156/,Hollister,Sake Producer,2003,   14
 Rock Sake,https://www.ratebeer.com/brewers/rock-sake/13719/,West Hollywood,Sake Producer,2011,   2
 saké2me,https://www.ratebeer.com/brewers/sake2me/9509/,Sausalito,Sake Producer,2008,   4
 Setting Sun Sake,https://www.ratebeer.com/brewers/setting-sun-sake/28426/,San Diego,Sake Producer,2016,   13
 Takara Sake USA,https://www.ratebeer.com/brewers/takara-sake-usa/4157/,Berkeley,Sake Producer,2003,   29
 Yaegaki Corporation of USA,https://www.ratebeer.com/brewers/yaegaki-corporation-of-usa/4167/,Vernon,Sake Producer,2003,   6
