name,city,type,beercount,est,url
 Bright Penny Brewing,Mebane,Brewpub/Brewery,   5,2019,https://www.ratebeer.com/brewers/bright-penny-brewing/40354/
 Broomtail Craft Brews,Wilmington,Microbrewery,   28,2014,https://www.ratebeer.com/brewers/broomtail-craft-brews/19710/
 Brouwerij Cursus Keme,Asheville,Microbrewery,   21,2018,https://www.ratebeer.com/brewers/brouwerij-cursus-keme/37983/
 Brown Truck Brewery,High Point,Brewpub/Brewery,   88,2016,https://www.ratebeer.com/brewers/brown-truck-brewery/26037/
 Brüeprint Brewing Company,Apex,Microbrewery,   32,2014,https://www.ratebeer.com/brewers/brueprint-brewing-company/19383/
 BrÜtopia Brewing Company,New Bern,Microbrewery,   4,2018,https://www.ratebeer.com/brewers/brutopia-brewing-company/37985/
 Bull City Burger and Brewery, Durham,Brewpub/Brewery,   70,2011,https://www.ratebeer.com/brewers/bull-city-burger-and-brewery/12802/
 Bull Durham Beer Company,Durham,Microbrewery,   7,2015,https://www.ratebeer.com/brewers/bull-durham-beer-company/22859/
 Burial Beer Company,Asheville,Microbrewery,   725,2013,https://www.ratebeer.com/brewers/burial-beer-company/16816/
 Burlington Beer Works,Burlington,Brewpub,   6,2019,https://www.ratebeer.com/brewers/burlington-beer-works/39705/
 Burlington Brew Works,Burlington ,Brewpub/Brewery,   6,2019,https://www.ratebeer.com/brewers/burlington-brew-works/39695/
 Burning Blush Brewery,Mills River,Brewpub/Brewery,   35,2019,https://www.ratebeer.com/brewers/burning-blush-brewery/47912/
 Button Down Brewing Company,Raleigh,Contract Brewer,   1,2021,https://www.ratebeer.com/brewers/button-down-brewing-company/46807/
 Buzzed Viking Brewing Co. & Meadery,Concord,Brewpub,   11,2022,https://www.ratebeer.com/brewers/buzzed-viking-brewing-co-meadery/49914/
 Cabarrus Brewing Company,Concord,Microbrewery,   26,2016,https://www.ratebeer.com/brewers/cabarrus-brewing-company/27495/
 Camelback Brewing Company,Sanford,Microbrewery,   18,2018,https://www.ratebeer.com/brewers/camelback-brewing-company/37986/
 Carolina Brewery,Chapel Hill,Brewpub/Brewery,   43,2003,https://www.ratebeer.com/brewers/carolina-brewery/3257/
 Carolina Brewing Company,Holly Springs,Microbrewery,   54,1999,https://www.ratebeer.com/brewers/carolina-brewing-company/569/
 Casita Brewing Company,Wilson,Microbrewery,   147,2015,https://www.ratebeer.com/brewers/casita-brewing-company/25321/
 Catawba Brewing Company,Morganton,Microbrewery,   228,1999,https://www.ratebeer.com/brewers/catawba-brewing-company/2883/
 Cavendish Brewing Company,Gastonia,Brewpub/Brewery,   23,2017,https://www.ratebeer.com/brewers/cavendish-brewing-company/31054/
 Cellarest Beer Project,Asheville,Microbrewery,   23,2021,https://www.ratebeer.com/brewers/cellarest-beer-project/45274/
 Clouds Brewing,Raleigh,Brewpub,   26,2016,https://www.ratebeer.com/brewers/clouds-brewing/27068/
 Commoners Brewing Company,Concord,Microbrewery,   38,2018,https://www.ratebeer.com/brewers/commoners-brewing-company/35263/
 Compass Rose Brewery,Raleigh,Microbrewery,   45,2015,https://www.ratebeer.com/brewers/compass-rose-brewery/24455/
 Craftboro Brewing Depot,Carrboro,Microbrewery,   6,2020,https://www.ratebeer.com/brewers/craftboro-brewing-depot/43973/
 Crank Arm Brewing,Raleigh ,Brewpub/Brewery,   89,2013,https://www.ratebeer.com/brewers/crank-arm-brewing/17319/
 Crystal Coast Brewing Company,Atlantic Beach,Microbrewery,   65,2017,https://www.ratebeer.com/brewers/crystal-coast-brewing-company/32292/
 Currahee Brewing Company,Franklin,Microbrewery,   54,2016,https://www.ratebeer.com/brewers/currahee-brewing-company/28083/
 D9 Brewing Company,Cornelius,Microbrewery,   123,2013,https://www.ratebeer.com/brewers/d9-brewing-company/18422/
 Deep River Brewing Co.,Clayton,Microbrewery,   62,2013,https://www.ratebeer.com/brewers/deep-river-brewing-co/16571/
 Devil's Logic Brewing,Charlotte,Brewpub/Brewery,   20,2020,https://www.ratebeer.com/brewers/devil39s-logic-brewing/42244/
 Dingo Dog Brewing Company,Carrboro,Microbrewery,   29,2018,https://www.ratebeer.com/brewers/dingo-dog-brewing-company/37988/
 Dirtbag Ales,Hope Mills,Microbrewery,   19,2014,https://www.ratebeer.com/brewers/dirtbag-ales/21167/
 Divine Barrel Brewing,Charlotte,Microbrewery,   100,2018,https://www.ratebeer.com/brewers/divine-barrel-brewing/34883/
 Double Barley Brewing,Smithfield,Microbrewery,   29,2013,https://www.ratebeer.com/brewers/double-barley-brewing/18139/
 Dry Falls Brewing Co.,Hendersonville,Microbrewery,   13,2018,https://www.ratebeer.com/brewers/dry-falls-brewing-co/37989/
 DSSOLVR,Asheville,Microbrewery,   151,2019,https://www.ratebeer.com/brewers/dssolvr/41263/
 Durty Bull Brewing Company,Durham,Microbrewery,   64,2016,https://www.ratebeer.com/brewers/durty-bull-brewing-company/28728/
 Ecusta Brewing Company,Pisgah Forest,Microbrewery,   42,2017,https://www.ratebeer.com/brewers/ecusta-brewing-company/31989/
 Edward Teach Beer Co.,Wilmington,Microbrewery,   18,2018,https://www.ratebeer.com/brewers/edward-teach-beer-co/37990/
 Eleven Lakes Brewing Company,Cornelius,Microbrewery,   29,2017,https://www.ratebeer.com/brewers/eleven-lakes-brewing-company/31246/
 Eluvium Brewing Co.,Weaverville,Microbrewery,   20,2018,https://www.ratebeer.com/brewers/eluvium-brewing-co/35036/
