name,city,type,beercount,est,url
 Prolyfk Brewing Project,New Bern,Microbrewery,   7,2021,https://www.ratebeer.com/brewers/prolyfk-brewing-project/47604/
 Protagonist,charlotte,Microbrewery,   17,2020,https://www.ratebeer.com/brewers/protagonist/42471/
 Quick Trigger Brewing Company,Ahoskie,Microbrewery,   8,2018,https://www.ratebeer.com/brewers/quick-trigger-brewing-company/38030/
 R & R Brewing,Mt Olive,Commercial Brewery,   8,2018,https://www.ratebeer.com/brewers/r-r-brewing/38031/
 R&D,Raleigh,Commercial Brewery,   10,2019,https://www.ratebeer.com/brewers/rd/39351/
 Radar Brewing Company,Winston-Salem,Brewpub/Brewery,   17,2020,https://www.ratebeer.com/brewers/radar-brewing-company/42242/
 Railhouse Brewery,Aberdeen,Microbrewery,   14,2009,https://www.ratebeer.com/brewers/railhouse-brewery/14289/
 Raleigh Brewing Company,Raleigh,Microbrewery,   61,2013,https://www.ratebeer.com/brewers/raleigh-brewing-company/16292/
 Red Buffalo Brewing Co.,Statesville,Microbrewery,   5,2018,https://www.ratebeer.com/brewers/red-buffalo-brewing-co/38032/
 Red Hill Brewing Company,Concord,Microbrewery,   18,2017,https://www.ratebeer.com/brewers/red-hill-brewing-company/30297/
 Red Moose,Pittsboro,Microbrewery,   6,2022,https://www.ratebeer.com/brewers/red-moose/49778/
 Red Oak Brewery,Whitsett,Microbrewery,   13,2002,https://www.ratebeer.com/brewers/red-oak-brewery/3190/
 Regulator Brewing Company,Hillsborough,Microbrewery,   18,2016,https://www.ratebeer.com/brewers/regulator-brewing-company/28115/
 Resident Culture Brewing Company,Charlotte,Microbrewery,   193,2017,https://www.ratebeer.com/brewers/resident-culture-brewing-company/32485/
 Riverbend Malt House,Asheville,Client Brewer,   1,2012,https://www.ratebeer.com/brewers/riverbend-malt-house/14130/
 Riverside Rhapsody Beer Company,Woodfin,Microbrewery,   4,2019,https://www.ratebeer.com/brewers/riverside-rhapsody-beer-company/43647/
 Royal Bliss Brewing Co.,Denver,Microbrewery,   9,2021,https://www.ratebeer.com/brewers/royal-bliss-brewing-co/45551/
 Running Brewing Company,Raleigh,Microbrewery,   1,2016,https://www.ratebeer.com/brewers/running-brewing-company/26987/
 Salty Turtle Beer Company,Surf City,Microbrewery,   22,2018,https://www.ratebeer.com/brewers/salty-turtle-beer-company/38017/
 Salud Cerveceria,Charlotte,Microbrewery,   111,2016,https://www.ratebeer.com/brewers/salud-cerveceria/27055/
 Sanctuary Brewing Company,Hendersonville,Brewpub,   38,2017,https://www.ratebeer.com/brewers/sanctuary-brewing-company/29972/
 Sapphire Mountain Brewing Company,Sapphire,Client Brewer,   6,2009,https://www.ratebeer.com/brewers/sapphire-mountain-brewing-company/10390/
 Satulah Mountain Brewing Company,Highlands,Microbrewery,   18,2015,https://www.ratebeer.com/brewers/satulah-mountain-brewing-company/23415/
 Seaboard Brewery,Matthews,Brewpub,   15,2018,https://www.ratebeer.com/brewers/seaboard-brewery/34481/
 Sheppard Brewing Lab at North Carolina State University,Raleigh,Commercial Brewery,   9,2018,https://www.ratebeer.com/brewers/sheppard-brewing-lab-at-north-carolina-state-university/38029/
 Shortway Brewing Company,Newport,Microbrewery,   14,2018,https://www.ratebeer.com/brewers/shortway-brewing-company/38027/
 Sidetracked Brewery,Morganton,Microbrewery,   19,2018,https://www.ratebeer.com/brewers/sidetracked-brewery/36876/
 Sideways Farm & Brewery,Etowah,Microbrewery,   28,2018,https://www.ratebeer.com/brewers/sideways-farm-brewery/38026/
 Skull Camp Brewing,Mount Airy,Microbrewery,   90,2013,https://www.ratebeer.com/brewers/skull-camp-brewing/17876/
 Skytown Beer Company,Wilmington,Microbrewery,   10,2018,https://www.ratebeer.com/brewers/skytown-beer-company/38021/
 Slammin' Sam Beer Company,Pinehurst,Client Brewer,   1,2012,https://www.ratebeer.com/brewers/slammin-sam-beer-company/14804/
 Small Batch Beer Company,Winston-Salem,Brewpub/Brewery,   129,2013,https://www.ratebeer.com/brewers/small-batch-beer-company/17620/
 SouthEnd Brewing Co,Greensboro,Microbrewery,   24,2019,https://www.ratebeer.com/brewers/southend-brewing-co/41627/
 Southern Appalachian Brewery,Hendersonville,Microbrewery,   26,2003,https://www.ratebeer.com/brewers/southern-appalachian-brewery/5320/
 Southern Peak Brewery,Apex,Brewpub/Brewery,   24,2016,https://www.ratebeer.com/brewers/southern-peak-brewery/27060/
 Southern Pines Brewing Company,Southern Pines,Microbrewery,   94,2014,https://www.ratebeer.com/brewers/southern-pines-brewing-company/20316/
 Southern Range Brewing Company,Monroe,Microbrewery,   31,2016,https://www.ratebeer.com/brewers/southern-range-brewing-company/28639/
 Southern Strain,Concord,Brewpub,   10,2020,https://www.ratebeer.com/brewers/southern-strain/42462/
 Spaceway Brewery,Rocky Mount,Microbrewery,   2,2021,https://www.ratebeer.com/brewers/spaceway-brewery/45515/
 Starpoint Brewing,Carrboro,Microbrewery,   31,2012,https://www.ratebeer.com/brewers/starpoint-brewing/15010/
 Steel String Craft Brewery,Carrboro,Brewpub/Brewery,   64,2013,https://www.ratebeer.com/brewers/steel-string-craft-brewery/16599/
 Stryker Brewing Company,Charlotte,Contract Brewer,   6,2018,https://www.ratebeer.com/brewers/stryker-brewing-company/36264/
 Suffolk Punch Brewing,Charlotte,Brewpub/Brewery,   63,2017,https://www.ratebeer.com/brewers/suffolk-punch-brewing/33083/
 Sugar Creek Brewing Company,Charlotte,Microbrewery,   40,2014,https://www.ratebeer.com/brewers/sugar-creek-brewing-company/20865/
 Sunstead Brewing,Charlotte,Microbrewery,   1,2020,https://www.ratebeer.com/brewers/sunstead-brewing/42467/
 Sweet Union Brewing Company,Indian Trail,Microbrewery,   44,2017,https://www.ratebeer.com/brewers/sweet-union-brewing-company/31038/
 Sweeten Creek Brewing,Asheville ,Microbrewery,   24,2015,https://www.ratebeer.com/brewers/sweeten-creek-brewing/25446/
 Swells'a Brewing Company,Kill Devil Hills,Microbrewery,   18,2022,https://www.ratebeer.com/brewers/swells39a-brewing-company/49353/
 Sycamore Brewing,Charlotte,Microbrewery,   158,2014,https://www.ratebeer.com/brewers/sycamore-brewing/21245/
 Tarboro Brewing Company,Tarboro,Microbrewery,   16,2016,https://www.ratebeer.com/brewers/tarboro-brewing-company/29946/
 The DreamChaser's Brewery,Waxhaw,Microbrewery,   40,2016,https://www.ratebeer.com/brewers/the-dreamchasers-brewery/27496/
 The Duck-Rabbit Craft Brewery,Farmville,Microbrewery,   55,2004,https://www.ratebeer.com/brewers/the-duck-rabbit-craft-brewery/5175/
 The Glass Jug Beer Lab,Durham,Microbrewery,   44,2018,https://www.ratebeer.com/brewers/the-glass-jug-beer-lab/36429/
 The Levee Brewery & Pub,Valdese,Microbrewery,   7,2018,https://www.ratebeer.com/brewers/the-levee-brewery-pub/38025/
 The Mash House Restaurant & Brewery,Fayetteville,Brewpub,   39,2000,https://www.ratebeer.com/brewers/the-mash-house-restaurant-brewery/635/
 The Mason Jar Lager Company,Fuquay Varina,Microbrewery,   28,2017,https://www.ratebeer.com/brewers/the-mason-jar-lager-company/32882/
 The New Village Brewery & Taproom,Oriental,Microbrewery,   3,2018,https://www.ratebeer.com/brewers/the-new-village-brewery-taproom/38022/
 The Olde Mecklenburg Brewery,Charlotte,Microbrewery,   33,2009,https://www.ratebeer.com/brewers/the-olde-mecklenburg-brewery/10182/
 The Unknown Brewing Company,Charlotte,Microbrewery,   59,2013,https://www.ratebeer.com/brewers/the-unknown-brewing-company/18424/
 Thirsty Monk Brewery & Pub,Asheville,Brewpub/Brewery,   69,2012,https://www.ratebeer.com/brewers/thirsty-monk-brewery-pub/14160/
 Thirsty Skull Brewing,Siler City,Commercial Brewery,   5,2022,https://www.ratebeer.com/brewers/thirsty-skull-brewing/50309/
 Thirsty Souls Community Brewing,Mount Airy,Brewpub/Brewery,   44,2018,https://www.ratebeer.com/brewers/thirsty-souls-community-brewing/34362/
 Toasty Kettlyst,Gibsonville,Commercial Brewery,   1,2021,https://www.ratebeer.com/brewers/toasty-kettlyst/46526/
 Tobacco Road Sports Cafe,Raleigh,Brewpub,   16,2017,https://www.ratebeer.com/brewers/tobacco-road-sports-cafe/32136/
 Tobacco Wood Brewing Company,Oxford,Brewpub,   7,2019,https://www.ratebeer.com/brewers/tobacco-wood-brewing-company/39693/
 Top of the Hill Brewery,Chapel Hill,Brewpub,   39,2003,https://www.ratebeer.com/brewers/top-of-the-hill-brewery/3440/
 Town Brewing,Charlotte,Microbrewery,   26,2018,https://www.ratebeer.com/brewers/town-brewing/37606/
 Triangle Beer Company,Cary,Brewpub,   4,2021,https://www.ratebeer.com/brewers/triangle-beer-company/47562/
 Triple C Brewing Company,Charlotte,Microbrewery,   83,2012,https://www.ratebeer.com/brewers/triple-c-brewing-company/15373/
 Trollingwood Taproom and Brewery,Greenville,Microbrewery,   31,2016,https://www.ratebeer.com/brewers/trollingwood-taproom-and-brewery/28669/
 Trophy Brewing Company,Raleigh ,Brewpub,   223,2013,https://www.ratebeer.com/brewers/trophy-brewing-company/16191/
 Turgua Brewing,Fairview,Microbrewery,   19,2018,https://www.ratebeer.com/brewers/turgua-brewing/38020/
 Twenty-Six Acres Brewing Company,Concord,Microbrewery,   33,2016,https://www.ratebeer.com/brewers/twenty-six-acres-brewing-company/29112/
 Twin Leaf Brewery,Asheville,Microbrewery,   137,2014,https://www.ratebeer.com/brewers/twin-leaf-brewery/19018/
 TwoBoros Brewery,Wilkesboro,Brewpub,   7,2020,https://www.ratebeer.com/brewers/twoboros-brewery/43730/
 Upcountry Brewing,Asheville,Brewpub/Brewery,   50,2017,https://www.ratebeer.com/brewers/upcountry-brewing/29875/
 Uptown Brewing Company,Greenville,Microbrewery,   10,2018,https://www.ratebeer.com/brewers/uptown-brewing-company/36965/
 Valley River Brewery & Eatery,Murphy,Brewpub,   19,2017,https://www.ratebeer.com/brewers/valley-river-brewery-eatery/30879/
 Vaulted Oak Brewing,Charlotte ,Microbrewery,   1,2022,https://www.ratebeer.com/brewers/vaulted-oak-brewing/49360/
 Vecino Brewing Company,Carrboro,Microbrewery,   18,2018,https://www.ratebeer.com/brewers/vecino-brewing-company/35279/
 Vicious Fishes Brewery,Angier,Microbrewery,   9,2017,https://www.ratebeer.com/brewers/vicious-fishes-brewery/30849/
 Waterline Brewing Company,Wilmington,Microbrewery,   17,2015,https://www.ratebeer.com/brewers/waterline-brewing-company/25312/
 Waterman's Brewing,Wilmington,Microbrewery,   13,2018,https://www.ratebeer.com/brewers/waterman39s-brewing/36402/
 Wedge Brewing Company,Asheville,Microbrewery,   64,2008,https://www.ratebeer.com/brewers/wedge-brewing-company/9622/
 Weeping Radish Farm Brewery,Grandy,Microbrewery,   34,2000,https://www.ratebeer.com/brewers/weeping-radish-farm-brewery/381/
 Westbend Vineyards & Brewery,Lewisville,Microbrewery,   15,2013,https://www.ratebeer.com/brewers/westbend-vineyards-brewery/17142/
 Whaley Farm Brewery,Old Fort,Brewpub/Brewery,   10,2022,https://www.ratebeer.com/brewers/whaley-farm-brewery/49957/
 Whistle Hop Brewing Company,Fairview,Microbrewery,   39,2018,https://www.ratebeer.com/brewers/whistle-hop-brewing-company/38019/
 White Elephant Beer Company,Mt Airy,Brewpub/Brewery,   26,2018,https://www.ratebeer.com/brewers/white-elephant-beer-company/35235/
 White Labs Kitchen & Tap,Asheville,Brewpub,   13,2018,https://www.ratebeer.com/brewers/white-labs-kitchen-tap/35452/
 White Street Brewing Company,Wake Forest,Microbrewery,   61,2012,https://www.ratebeer.com/brewers/white-street-brewing-company/15333/
 Whiteside Brewing,Cashiers,Microbrewery,   16,2018,https://www.ratebeer.com/brewers/whiteside-brewing/38018/
 Wicked Weed Brewing (AB InBev),Asheville,Brewpub,   528,2012,https://www.ratebeer.com/brewers/wicked-weed-brewing-ab-inbev/15842/
 Wilmington Brewing Company,Wilmington,Microbrewery,   87,2015,https://www.ratebeer.com/brewers/wilmington-brewing-company/22843/
 Wise Man Brewing,Winston-Salem,Microbrewery,   103,2017,https://www.ratebeer.com/brewers/wise-man-brewing/30121/
 Wooden Robot Brewery,Charlotte,Microbrewery,   178,2015,https://www.ratebeer.com/brewers/wooden-robot-brewery/23461/
 Wrightsville Beach Brewery,Wilmington,Brewpub/Brewery,   18,2017,https://www.ratebeer.com/brewers/wrightsville-beach-brewery/32717/
 Wye Hill Kitchen & Brewing,Raleigh,Brewpub/Brewery,   18,2021,https://www.ratebeer.com/brewers/wye-hill-kitchen-brewing/45160/
 Yellow Sun Brewing Company,Rutherfordton,Microbrewery,   6,2017,https://www.ratebeer.com/brewers/yellow-sun-brewing-company/31563/
 Zebulon Artisan Ales,Weaverville,Microbrewery,   109,2016,https://www.ratebeer.com/brewers/zebulon-artisan-ales/26278/
 Zillicoah Beer Company,Woodfin,Microbrewery,   66,2018,https://www.ratebeer.com/brewers/zillicoah-beer-company/35466/
